player_name,player_link,position,height,from,to,seasons
Alaa Abdelnaby,alaa-abdelnaby,PF/C,2.08,1990,1995,5
Zaid Abdul-Aziz,zaid-abdul-aziz,PF/C,2.06,1968,1978,10
Mahmoud Abdul-Rauf,mahmoud-abdul-rauf,PG,1.85,1990,2001,9
Tariq Abdul-Wahad,tariq-abdul-wahad,SG/SF,1.98,1997,2003,6
Shareef Abdur-Rahim,shareef-abdur-rahim,PF,2.06,1996,2008,12
Tom Abernethy,tom-abernethy,SF/PF,2.0,1976,1981,5
John Abramovic,john-abramovic,SF/PF,1.9,1946,1948,2
Álex Abrines,alex-abrines,SG/SF,1.98,2016,2018,1
Alex Acker,alex-acker,SG,1.96,2005,2009,2
Mark Acres,mark-acres,C/PF,2.11,1987,1993,6
Quincy Acy,quincy-acy,PF,2.01,2012,2018,5
Alvan Adams,alvan-adams,PF/C,2.06,1975,1988,13
Don Adams,don-adams,SF,1.98,1970,1977,7
Hassan Adams,hassan-adams,SG,1.93,2006,2009,2
Jordan Adams,jordan-adams,SG,1.96,2014,2016,2
Josh Adams,josh-adams,PG,1.88,----,----,0
Michael Adams,michael-adams,PG,1.78,1985,1996,11
Steven Adams,steven-adams,C,2.13,2013,2018,4
Rafael Addison,rafael-addison,SF/SG,2.01,1986,1997,6
Bam Adebayo,bam-adebayo,C/PF,2.08,2017,2018,0
Rick Adelman,rick-adelman,PG,1.85,1968,1975,7
Jeff Adrien,jeff-adrien,PF,2.01,2010,2015,5
Arron Afflalo,arron-afflalo,SG/SF,1.96,2007,2018,10
Maurice Ager,maurice-ager,SG/PG,1.96,2006,2011,4
Mark Aguirre,mark-aguirre,SF,1.98,1981,1994,13
Blake Ahearn,blake-ahearn,PG,1.88,2007,2012,3
Danny Ainge,danny-ainge,SG,1.96,1981,1995,14
Alexis Ajinca,alexis-ajinca,C/PF,2.18,2008,2017,7
Henry Akin,henry-akin,C/PF,2.08,1966,1968,2
Josh Akognon,josh-akognon,PG/SG,1.8,2012,2013,1
Solomon Alabi,solomon-alabi,C,2.16,2010,2012,2
Mark Alarie,mark-alarie,PF,2.01,1986,1991,5
Gary Alcorn,gary-alcorn,C,2.05,1959,1961,2
Furkan Aldemir,furkan-aldemir,PF/C,2.08,2014,2015,1
Cole Aldrich,cole-aldrich,C,2.11,2010,2018,7
LaMarcus Aldridge,lamarcus-aldridge,PF/C,2.11,2006,2018,11
Chuck Aleksinas,chuck-aleksinas,C,2.11,1984,1985,1
Cliff Alexander,cliff-alexander,PF,2.03,2015,2016,1
Cory Alexander,cory-alexander,PG,1.85,1995,2005,7
Courtney Alexander,courtney-alexander,SG/PG,1.96,2000,2003,3
Gary Alexander,gary-alexander,PF,2.01,1993,1994,1
Joe Alexander,joe-alexander,SF,2.03,2008,2010,2
Victor Alexander,victor-alexander,C/PF,2.06,1991,2002,5
Bryce Alford,bryce-alford,SG/PG,1.91,----,----,0
Steve Alford,steve-alford,PG,1.88,1987,1991,4
Jarrett Allen,jarrett-allen,C,2.11,2017,2018,0
Jerome Allen,jerome-allen,SG,1.93,1995,1997,2
Kadeem Allen,kadeem-allen,PG/SG,1.91,2017,2018,0
Lavoy Allen,lavoy-allen,PF/C,2.06,2011,2017,6
Lucius Allen,lucius-allen,PG,1.88,1969,1979,10
Malik Allen,malik-allen,C/PF,2.08,2001,2011,10
Randy Allen,randy-allen,SG,2.03,1988,1990,2
Ray Allen,ray-allen,SG,1.96,1996,2014,18
Tony Allen,tony-allen,SG/SF,1.93,2004,2018,13
Lance Allred,lance-allred,C,2.11,2007,2008,1
Morris Almond,morris-almond,SF/SG,1.98,2007,2012,3
Derrick Alston,derrick-alston,C/PF,2.1,1994,1997,3
Rafer Alston,rafer-alston,PG,1.88,1999,2010,11
Peter Aluma,peter-aluma,C,2.08,1998,1999,1
John Amaechi,john-amaechi,C/PF,2.08,1995,2003,5
Ashraf Amaya,ashraf-amaya,PF,2.03,1995,1997,2
Alade Aminu,alade-aminu,PF,2.08,----,----,0
Al-Farouq Aminu,alfarouq-aminu,PF,2.06,2010,2018,7
